EmployeeID,Age,Gender,MaritalStatus,Education,Department,JobRole,JobLevel,YearsAtCompany,YearsSinceLastPromotion,MonthlyIncome,OverTime,BusinessTravel,DistanceFromHome,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,PerformanceRating,Attrition
E00001,40,Male,Divorced,High School,Marketing,Marketing Specialist,1,5,0,5640,No,Travel_Rarely,7,1,3,2,3,Yes
E00002,38,Male,Divorced,Bachelor,Operations,Operations Manager,1,0,0,4622,No,Travel_Rarely,4,1,1,1,3,Yes
E00003,26,Male,Single,PhD,Marketing,Content Strategist,1,1,0,6914,No,Non-Travel,7,4,2,4,3,No
E00004,19,Female,Single,Master,HR,HR Business Partner,3,1,1,4581,No,Travel_Rarely,1,2,2,3,3,Yes
E00005,43,Female,Single,Master,IT,DevOps Engineer,5,1,1,3465,No,Travel_Frequently,22,3,1,4,3,No
E00006,46,Female,Single,Bachelor,IT,DevOps Engineer,1,4,3,3812,No,Travel_Rarely,2,2,1,1,3,No
E00007,38,Female,Single,Master,IT,Software Engineer,2,0,0,5047,Yes,Travel_Rarely,3,4,3,4,3,No
E00008,43,Male,Single,PhD,HR,HR Specialist,3,8,0,3045,No,Travel_Rarely,10,3,1,2,3,No
E00009,35,Male,Married,PhD,Finance,Accountant,3,0,0,9429,No,Travel_Rarely,5,2,3,1,3,Yes
E00010,43,Female,Divorced,PhD,HR,HR Specialist,3,0,0,3170,Yes,Travel_Rarely,4,2,3,2,3,Yes
E00011,28,Female,Divorced,PhD,R&D,Lab Technician,2,10,3,4789,Yes,Travel_Rarely,17,2,2,3,4,No
E00012,46,Male,Single,Bachelor,HR,HR Specialist,2,7,0,5222,No,Travel_Frequently,13,2,4,1,3,No
E00013,36,Female,Divorced,Master,IT,IT Support,1,2,2,5401,No,Travel_Rarely,5,1,4,4,3,No
E00014,33,Female,Single,PhD,Operations,Operations Analyst,1,2,0,5953,Yes,Travel_Rarely,7,1,3,3,3,Yes
E00015,34,Female,Divorced,Bachelor,Sales,Account Executive,2,0,0,6875,No,Travel_Rarely,2,3,2,1,3,No
E00016,35,Male,Married,Master,R&D,Lab Technician,3,2,0,11297,No,Travel_Rarely,3,2,1,3,3,No
