OrderID,Date,Region,Channel,Segment,Category,Quantity,UnitPrice,Discount,Revenue,Cost,Profit
ORD0000001,2023-10-26,Central,Online,SMB,Apparel,1,71.33,0.0,71.33,40.42,30.91
ORD0000002,2025-04-08,West,Partner,Consumer,Electronics,3,1109.7,0.0,3329.1,1859.72,1469.38
ORD0000003,2023-05-08,North,Retail,Enterprise,Electronics,1,751.05,0.0,751.05,555.91,195.14
ORD0000004,2025-07-08,North,Retail,Consumer,Beauty,2,114.51,0.1,206.12,141.13,64.99
ORD0000005,2025-02-14,Central,Wholesale,Enterprise,Apparel,8,57.65,0.0,461.2,311.01,150.19
ORD0000006,2025-10-28,East,Online,Enterprise,Apparel,1,33.4,0.1,30.06,20.95,9.11
ORD0000007,2025-12-29,Central,Partner,SMB,Electronics,1,764.37,0.1,687.93,410.95,276.98
ORD0000008,2024-08-11,South,Retail,Consumer,Beauty,1,111.96,0.0,111.96,69.3,42.66
ORD0000009,2025-03-22,East,Online,Consumer,Home,1,229.07,0.0,229.07,164.42,64.65
ORD0000010,2024-11-14,West,Partner,Consumer,Sports,1,74.54,0.0,74.54,43.6,30.94
ORD0000011,2025-09-30,East,Wholesale,Enterprise,Electronics,2,964.57,0.1,1736.23,1270.04,466.19
ORD0000012,2023-12-19,North,Wholesale,SMB,Beauty,3,67.15,0.2,161.16,105.55,55.61
ORD0000013,2025-11-28,Central,Partner,SMB,Grocery,1,8.57,0.15,7.28,5.18,2.1
ORD0000014,2024-03-01,Central,Online,SMB,Grocery,1,24.09,0.05,22.89,14.46,8.43
ORD0000015,2022-05-01,West,Partner,SMB,Apparel,1,119.87,0.0,119.87,86.29,33.58
ORD0000016,2022-06-15,South,Partner,Enterprise,Apparel,5,78.39,0.1,352.75,216.55,136.2
ORD0000017,2023-07-25,West,Retail,Consumer,Grocery,1,27.84,0.0,27.84,19.68,8.16
ORD0000018,2022-06-19,West,Retail,SMB,Apparel,1,39.67,0.15,33.72,20.36,13.36
ORD0000019,2023-08-01,Central,Wholesale,Consumer,Electronics,5,345.68,0.1,1555.56,987.67,567.89
ORD0000020,2025-11-15,North,Partner,Enterprise,Beauty,1,114.77,0.15,97.55,68.82,28.73
ORD0000021,2025-02-19,West,Online,Consumer,Sports,2,137.48,0.05,261.21,149.89,111.32
ORD0000022,2022-05-18,North,Online,Consumer,Apparel,6,77.28,0.0,463.68,291.29,172.39
ORD0000023,2025-03-06,North,Retail,Enterprise,Apparel,1,89.76,0.0,89.76,62.04,27.72
ORD0000024,2024-02-10,West,Online,Consumer,Apparel,1,102.47,0.0,102.47,70.55,31.92
ORD0000025,2024-09-26,North,Wholesale,Enterprise,Sports,5,159.71,0.0,798.55,454.98,343.57
ORD0000026,2023-06-27,South,Wholesale,Consumer,Sports,1,253.79,0.0,253.79,169.72,84.07
ORD0000027,2025-11-14,North,Wholesale,Enterprise,Beauty,1,110.99,0.2,88.79,59.62,29.17
ORD0000028,2024-01-22,Central,Wholesale,Enterprise,Apparel,3,66.24,0.0,198.72,133.64,65.08
ORD0000029,2023-04-02,South,Partner,Enterprise,Beauty,2,100.21,0.2,160.34,119.63,40.71
ORD0000030,2023-04-10,North,Wholesale,SMB,Apparel,1,87.29,0.0,87.29,62.69,24.6
ORD0000031,2023-06-15,East,Wholesale,Consumer,Apparel,1,110.03,0.0,110.03,71.83,38.2
ORD0000032,2023-03-28,West,Online,SMB,Electronics,1,426.85,0.0,426.85,267.93,158.92
